"denominación";"dirección";"distrito.postal";"localidad";"provincia";"ccaa";"país";"teléfono";"fax";"correo.electrónico";"dir";"request";"lon";"lat";"address"
"Agencia de Lectura Municipal de Aín";"Plz. José Sorribes Fuster, 1";"12222";"Aín";"Castellon";"Comunidad Valenciana";"Spain";"964 62 90 40";"964 62 90 40";"ain_ayto@gva.es";"Plz. José Sorribes Fuster  1";"Plz. Jose Sorribes Fuster  1,12222,Ain,Castellon,Spain";-0.3410107;39.9001543;"12222 aín, castellón, spain"
"Agencia de Lectura Municipal de Alcossebre";"c/ San José, 48, B";"12579";"Alcalà de Xivert";"Castellon";"Comunidad Valenciana";"Spain";"964 41 42 26";"";"axivert_vic@gva.es";"c/ San José  48";"c/ San Jose  48,12579,Alcala de Xivert,Castellon,Spain";0.2235145;40.3042881;"carrer de sant josep, 48, 12570 alcalà de xivert, castellón, spain"
"Biblioteca Pública Municipal de Alcalà de Xivert";"Paseo Héroes de Marruecos, 2";"12570";"Alcalà de Xivert";"Castellon";"Comunidad Valenciana";"Spain";"964 15 00 80";"964 41 01 39";"axivert_eug@gva.es";"Paseo Héroes de Marruecos  2";"Paseo Heroes de Marruecos  2,12570,Alcala de Xivert,Castellon,Spain";0.2265823;40.3059644;"12570 alcalà de xivert, castellón, spain"
"Agencia de Lectura Municipal de Alcudia de Veo";"c/ de la Fuente, 7";"12222";"Alcudia de Veo";"Castellon";"Comunidad Valenciana";"Spain";"964 62 90 56 (Ayuntamiento)";"";"alcudiadeveo_sec@gva.es";"c/ de la Fuente  7";"c/ de la Fuente  7,12222,Alcudia de Veo,Castellon,Spain";-0.3553414;39.9162477;"calle la fuente, 7, 12222 alcudia, castellón, spain"
"Agencia de Lectura Municipal de Algimia de Almonacid";"c/ Larga, 56";"12414";"Algimia de Almonacid";"Castellon";"Comunidad Valenciana";"Spain";"964 13 90 31";"964 13 90 59";"aalmonacid_alc@gva.es";"c/ Larga  56";"c/ Larga  56,12414,Algimia de Almonacid,Castellon,Spain";-0.4446292;39.9133031;"calle larga, 56, 12414 algimia de almonacid, castellón, spain"
"Biblioteca Pública Municipal de Almazora";"Plz. de España, 2";"12550";"Almazora/Almassora";"Castellon";"Comunidad Valenciana";"Spain";"964 56 07 58";"964 56 30 51";"biblioteca@almassora.es";"Plz. de España  2";"Plz. de Espana  2,12550,Almazora/Almassora,Castellon,Spain";-0.0633559;39.9447591;"plaza españa, 2, 12550 almazora, castellón, spain"
"Agencia de Lectura Municipal de Almedíjar";"Plz. del Ayuntamiento, 5";"12413";"Almedíjar";"Castellon";"Comunidad Valenciana";"Spain";"964 13 70 18";"964 13 70 18";"";"Plz. del Ayuntamiento  5";"Plz. del Ayuntamiento  5,12413,Almedijar,Castellon,Spain";-0.4086741;39.8726742;"plaza del ayuntamiento, 5, 12413 almedíjar, castellón, spain"
"Agencia de Lectura Municipal de Almenara";"c/ Colón, 1";"12590";"Almenara";"Castellon";"Comunidad Valenciana";"Spain";"962 62 36 71";"962 62 31 65";"cestrada@almenara.es";"c/ Colón  1";"c/ Colon  1,12590,Almenara,Castellon,Spain";-0.2199823;39.7533922;"carrer de colón, 1, 12590 almenara, castellón, spain"
"Agencia de Lectura Municipal de Alquerias del Niño Perdido";"c/ del Mossén Juan Miralles, 2, 1º";"12539";"Alquerías del Niño Perdido";"Castellon";"Comunidad Valenciana";"Spain";"964 51 80 01";"";"biblioteca@lesalqueries.com";"c/ del Mossén Juan Miralles  2";"c/ del Mossen Juan Miralles  2,12539,Alquerias del Nino Perdido,Castellon,Spain";-0.1137021;39.89669;"carrer mossèn juan miralles, 2, 12539 les alqueries, castellón, spain"
"Agencia de Lectura Municipal de Altura";"c/ San Vicente, 9";"12410";"Altura";"Castellon";"Comunidad Valenciana";"Spain";"964 14 60 42";"964 14 62 66";"biblioteca_altura@hotmail.com";"c/ San Vicente  9";"c/ San Vicente  9,12410,Altura,Castellon,Spain";-0.5103645;39.8513662;"calle san vicente, 9, 12410 altura, castellón, spain"
